date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:49:36	42548/42548	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202020%2012:26:45%20GMT	https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/forms/wizard.html	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/examples/forms/wizard.html	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:36	46390/46390	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202020%2012:26:45%20GMT	https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/tables/regular.html	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/examples/tables/regular.html	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:37	61642/61642	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202020%2012:26:45%20GMT	https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/tables/extended.html	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/examples/tables/extended.html	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:37	67711/67711	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202020%2012:26:45%20GMT	https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/tables/datatables.net.html	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/examples/tables/datatables.net.html	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:38	34403/34403	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202020%2012:26:45%20GMT	https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/maps/google.html	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/examples/maps/google.html	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:38	32441/32441	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202020%2012:26:45%20GMT	https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/maps/fullscreen.html	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/examples/maps/fullscreen.html	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:39	33988/33988	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202020%2012:26:45%20GMT	https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/maps/vector.html	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/examples/maps/vector.html	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:39	48637/48637	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202020%2012:26:45%20GMT	https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/widgets.html	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/examples/widgets.html	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:40	37458/37458	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202020%2012:26:45%20GMT	https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/charts.html	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/examples/charts.html	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:40	33311/33311	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202020%2012:26:45%20GMT	https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/calendar.html	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/examples/calendar.html	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
